"","Peak.Brightness.Date.Time..UT.","Latitude..deg..","Longitude..deg..","Altitude..km.","Velocity..km.s.","Calculated.Total.Impact.Energy..kt.","Altitud.sin","Velocidad.sin","Altitud.Clase"
"170","2012-09-28 05:44:12","6.9S","73.7E",NA,NA,0.13,38,14.6,"Estratosfera"
"171","2012-09-18 19:34:39","1.2N","52.2W",28.1,18.3,0.67,28.1,18.3,"Estratosfera"
"172","2012-09-11 22:07:30","18.9S","105.2E",NA,NA,0.17,33.3,14.6,"Estratosfera"
"173","2012-09-10 01:03:32","69.8S","111.7W",23.8,16.9,0.082,23.8,16.9,"Estratosfera"
"174","2012-08-27 06:57:43","18.3S","64.2E",38.7,28.9,0.22,38.7,28.9,"Estratosfera"
"175","2012-08-26 14:55:47","11.8N","117.0E",36,12.7,0.68,36,12.7,"Estratosfera"
"176","2012-08-13 05:31:53","","",NA,NA,0.11,20,15.9,"Estratosfera"
"177","2012-07-27 04:19:50","63.1N","172.3E",27.2,NA,0.12,27.2,14.6,"Estratosfera"
"178","2012-07-25 07:48:20","36.4N","41.5E",26.8,18.5,0.39,26.8,18.5,"Estratosfera"
"179","2012-06-05 07:44:54","","",NA,NA,0.086,38,15.9,"Estratosfera"
"180","2012-05-25 11:31:24","41.8S","36.2W",NA,NA,0.19,42.5,16.7,"Estratosfera"
"181","2012-05-22 08:31:42","","",NA,NA,0.59,64.5,11.4,"Mesosfera"
"182","2012-05-15 11:04:17","61.8S","135.5W",33.3,17.1,0.39,33.3,17.1,"Estratosfera"
"183","2012-05-04 21:54:49","76.7N","10.6W",NA,NA,0.63,64.5,11.4,"Mesosfera"
"184","2012-04-23 22:01:10","36.2N","107.4E",25.2,NA,0.15,25.2,14.7,"Estratosfera"
"185","2012-04-21 16:08:23","15.8S","174.8W",NA,NA,0.42,64.5,14.6,"Mesosfera"
"186","2012-04-19 22:12:10","5.5N","16.8E",NA,NA,0.1,42.5,11.4,"Estratosfera"
"187","2012-04-02 16:50:33","28.1N","95.2W",NA,NA,0.11,38,15.9,"Estratosfera"
"188","2012-03-12 06:40:44","2.5N","139.8E",25,11.8,0.3,25,11.8,"Estratosfera"
