"","Object.Designation..","Year.Range..","Potential.Impacts..","Impact.Probability..cumulative.","Vinfinity..km.s.","H..mag.","Estimated.Diameter..km.","Palermo.Scale..cum..","FechaProx.Clase","Probabilidad.Log","BrilloH.Clase","Palermo.Clase","Fecha.Min","Fecha.Max"
"1","2010 GZ60","2018-2116",478,5.4e-06,3,16.1,2,-0.83,"Medio Plazo",-12.129111604394,"Nivel Bajo","Nivel Alto",2018,2116
"2","29075 1950 DA","2880-2880",1,0.00012,14.1,17.6,1.3,-1.42,"Muy Largo Plazo",-9.02801881518223,"Nivel Bajo","Nivel Alto",2880,2880
"3","101955 Bennu 1999 RQ36","2175-2199",78,0.00037,5.99,20.2,0.49,-1.71,"Muy Largo Plazo",-7.902007552326,"Nivel Bajo","Nivel Alto",2175,2199
"4","410777 2009 FD","2185-2198",7,0.0016,15.87,22.1,0.16,-1.78,"Muy Largo Plazo",-6.4377516497364,"Nivel Bajo","Nivel Alto",2185,2198
"5","2017 YZ1","2047-2117",23,2.1e-05,13.92,20.7,0.25,-2.31,"Largo Plazo",-10.7709881202409,"Nivel Bajo","Nivel Alto",2047,2117
"6","2017 RH16","2026-2117",49,0.00085,12.78,25.6,0.026,-2.59,"Largo Plazo",-7.07027420847991,"Nivel Medio","Nivel Alto",2026,2117
"7","2010 AU118","2020-2112",38,1.8e-08,25.22,16.2,1.9,-2.72,"Medio Plazo",-17.8328940790502,"Nivel Bajo","Nivel Alto",2020,2112
"8","1979 XB","2056-2113",2,7.4e-07,23.92,18.5,0.662,-2.82,"Muy Largo Plazo",-14.1166156507482,"Nivel Bajo","Nivel Alto",2056,2113
"9","2007 FT3","2019-2116",165,1.5e-06,17.06,20,0.34,-2.82,"Medio Plazo",-13.4100454498561,"Nivel Bajo","Nivel Alto",2019,2116
"10","99942 Apophis 2004 MN4","2060-2105",12,8.9e-06,5.85,19.1,0.37,-2.83,"Muy Largo Plazo",-11.6294592812262,"Nivel Bajo","Nivel Alto",2060,2105
"11","2000 SG344","2069-2113",101,0.0026,1.36,24.8,0.037,-2.86,"Muy Largo Plazo",-5.9522438339547,"Nivel Bajo","Nivel Alto",2069,2113
"12","2009 JF1","2022-2022",1,0.00026,23.92,27.1,0.013,-3.28,"Medio Plazo",-8.25482892694875,"Nivel Medio","Nivel Alto",2022,2022
"13","2010 RF12","2095-2117",63,0.05,5.1,28.4,0.007,-3.3,"Muy Largo Plazo",-2.99573227355399,"Nivel Alto","Nivel Alto",2095,2117
"14","2006 QV89","2019-2040",8,5e-05,5.16,25.3,0.03,-3.31,"Medio Plazo",-9.90348755253613,"Nivel Bajo","Nivel Alto",2019,2040
"15","2017 XO2","2035-2111",76,2e-05,13.6,22.4,0.11,-3.4,"Largo Plazo",-10.8197782844103,"Nivel Bajo","Nivel Alto",2035,2111
"16","2001 CA21","2020-2073",4,1.2e-08,30.71,18.5,0.678,-3.43,"Medio Plazo",-18.2383591871584,"Nivel Bajo","Nivel Alto",2020,2073
"17","2005 ED224","2018-2064",6,3e-06,25.14,24,0.054,-3.5,"Medio Plazo",-12.7168982692962,"Nivel Bajo","Nivel Alto",2018,2064
"18","2005 QK76","2030-2107",9,6.8e-05,19.67,25.2,0.031,-3.55,"Largo Plazo",-9.59600285278817,"Nivel Bajo","Nivel Alto",2030,2107
"19","2016 RD34","2051-2093",35,0.0062,1.15,27.3,0.012,-3.6,"Muy Largo Plazo",-5.08320598693109,"Nivel Medio","Nivel Alto",2051,2093
"20","2008 JL3","2024-2116",28,9.8e-05,8.41,25.3,0.029,-3.61,"Medio Plazo",-9.2305430792937,"Nivel Bajo","Nivel Alto",2024,2116
"21","2015 ME131","2018-2089",100,3.5e-08,19.75,19.2,0.499,-3.63,"Medio Plazo",-17.167917775457,"Nivel Bajo","Nivel Alto",2018,2089
"22","2017 YE5","2078-2116",4,3.7e-07,16.4,18.8,0.58,-3.63,"Muy Largo Plazo",-14.8097628313081,"Nivel Bajo","Nivel Alto",2078,2116
"23","1994 GK","2051-2067",5,6.9e-05,14.87,24.2,0.048,-3.65,"Muy Largo Plazo",-9.58140405336701,"Nivel Bajo","Nivel Alto",2051,2067
"24","2016 WN55","2020-2114",77,1.2e-07,15.39,19.4,0.451,-3.67,"Medio Plazo",-15.9357740941644,"Nivel Bajo","Nivel Alto",2020,2114
"25","2016 NL56","2023-2117",254,7.2e-07,15.2,20.6,0.264,-3.67,"Medio Plazo",-14.1440146249363,"Nivel Bajo","Nivel Alto",2023,2117
"26","2008 UB7","2044-2100",33,3.5e-05,18.51,23.9,0.058,-3.71,"Largo Plazo",-10.2601624964749,"Nivel Bajo","Nivel Alto",2044,2100
"27","2017 VW13","2097-2097",2,2.4e-06,10.94,20.6,0.25,-3.75,"Muy Largo Plazo",-12.9400418206104,"Nivel Bajo","Nivel Alto",2097,2097
"28","2000 SB45","2074-2113",101,0.00016,7.53,24.3,0.046,-3.77,"Muy Largo Plazo",-8.74033674273045,"Nivel Bajo","Nivel Alto",2074,2113
"29","2012 QD8","2042-2105",4,6.5e-06,20.76,23.1,0.081,-3.81,"Largo Plazo",-11.9437083810627,"Nivel Bajo","Nivel Alto",2042,2105
"30","2007 DX40","2030-2111",41,6.2e-05,15.53,24.6,0.04,-3.84,"Largo Plazo",-9.68837617291918,"Nivel Bajo","Nivel Alto",2030,2111
"31","2008 EX5","2061-2090",16,4.7e-05,9.92,23.8,0.059,-3.88,"Muy Largo Plazo",-9.96536295625422,"Nivel Bajo","Nivel Alto",2061,2090
"32","2013 VW13","2071-2084",9,0.00043,16.35,26.2,0.019,-3.92,"Muy Largo Plazo",-7.75172534927667,"Nivel Medio","Nivel Alto",2071,2084
"33","2001 VB","2023-2023",1,2.4e-09,35.02,18.3,0.73,-3.95,"Medio Plazo",-19.8477970995925,"Nivel Bajo","Nivel Alto",2023,2023
"34","2010 WC9","2027-2114",19,4.3e-06,12.67,23.4,0.07,-4,"Largo Plazo",-12.3568955352648,"Nivel Bajo","Nivel Alto",2027,2114
"35","2012 HG2","2052-2117",443,0.0016,3.32,27,0.014,-4.01,"Muy Largo Plazo",-6.4377516497364,"Nivel Medio","Nivel Alto",2052,2117
"36","2009 BE","2061-2117",24,0.00043,11.46,26.1,0.02,-4.03,"Muy Largo Plazo",-7.75172534927667,"Nivel Medio","Nivel Alto",2061,2117
"37","2006 JY26","2073-2109",39,0.007,2.98,28.4,0.007,-4.06,"Muy Largo Plazo",-4.96184512992682,"Nivel Alto","Nivel Alto",2073,2109
"38","2017 YO6","2054-2116",31,5e-06,12.51,22.4,0.114,-4.06,"Muy Largo Plazo",-12.2060726455302,"Nivel Bajo","Nivel Alto",2054,2116
"39","2017 US","2070-2117",15,0.00067,4.54,26,0.021,-4.07,"Muy Largo Plazo",-7.30823284557926,"Nivel Medio","Nivel Alto",2070,2117
"40","2011 BT59","2052-2096",4,1.4e-07,37.82,20.8,0.24,-4.1,"Muy Largo Plazo",-15.7816234143371,"Nivel Bajo","Nivel Alto",2052,2096
"41","2008 CC71","2034-2082",20,5.9e-05,8.07,24.9,0.036,-4.14,"Largo Plazo",-9.73797311405855,"Nivel Bajo","Nivel Alto",2034,2082
"42","2017 RZ17","2019-2105",50,2e-08,18.89,19.8,0.372,-4.14,"Medio Plazo",-17.7275335633924,"Nivel Bajo","Nivel Alto",2019,2105
"43","2015 YJ","2042-2115",54,0.0016,16.35,28.3,0.007,-4.16,"Largo Plazo",-6.4377516497364,"Nivel Alto","Nivel Alto",2042,2115
"44","2014 GN1","2061-2061",1,2.1e-05,21.23,24.6,0.041,-4.17,"Muy Largo Plazo",-10.7709881202409,"Nivel Bajo","Nivel Alto",2061,2061
"45","2017 SH33","2026-2116",22,2.2e-08,25.2,19.2,0.49,-4.19,"Largo Plazo",-17.6322233835881,"Nivel Bajo","Nivel Alto",2026,2116
"46","2011 DU9","2046-2059",4,0.00028,8.77,26.7,0.016,-4.21,"Largo Plazo",-8.18072095479502,"Nivel Medio","Nivel Alto",2046,2059
"47","2017 LD","2053-2117",291,0.002,4.49,27.5,0.011,-4.23,"Muy Largo Plazo",-6.21460809842219,"Nivel Alto","Nivel Alto",2053,2117
"48","2010 CR5","2062-2075",3,7.5e-08,23.68,19.8,0.371,-4.24,"Muy Largo Plazo",-16.4057777234101,"Nivel Bajo","Nivel Alto",2062,2075
"49","2010 GM23","2087-2116",30,6.3e-05,13.44,24.7,0.04,-4.24,"Muy Largo Plazo",-9.67237583157274,"Nivel Bajo","Nivel Alto",2087,2116
"50","2006 DM63","2031-2116",39,0.00014,10.37,26.7,0.015,-4.26,"Largo Plazo",-8.87386813535497,"Nivel Medio","Nivel Alto",2031,2116
"51","2008 HJ","2077-2112",25,0.00026,7.53,25.8,0.024,-4.29,"Muy Largo Plazo",-8.25482892694875,"Nivel Medio","Nivel Alto",2077,2112
"52","2014 JU15","2079-2114",86,5.6e-05,10.35,24.7,0.039,-4.32,"Muy Largo Plazo",-9.79015886722913,"Nivel Bajo","Nivel Alto",2079,2114
"53","2002 RB182","2053-2116",26,6.1e-06,13.26,22.8,0.092,-4.33,"Muy Largo Plazo",-12.007221786785,"Nivel Bajo","Nivel Alto",2053,2116
"54","2016 WG","2076-2115",25,4.6e-06,23.58,23.3,0.074,-4.36,"Muy Largo Plazo",-12.2894542544692,"Nivel Bajo","Nivel Alto",2076,2115
"55","2010 UK","2068-2116",43,0.00052,6.08,26.9,0.014,-4.37,"Muy Largo Plazo",-7.5616817463888,"Nivel Medio","Nivel Alto",2068,2116
"56","2007 KO4","2022-2116",315,4.3e-06,13.71,23.3,0.075,-4.39,"Medio Plazo",-12.3568955352648,"Nivel Bajo","Nivel Alto",2022,2116
"57","2008 ST7","2074-2112",21,2.7e-05,9.97,24.1,0.052,-4.41,"Muy Largo Plazo",-10.5196736919599,"Nivel Bajo","Nivel Alto",2074,2112
"58","2013 TP4","2026-2026",1,4.9e-05,25.3,27.5,0.011,-4.43,"Largo Plazo",-9.92369025985365,"Nivel Alto","Nivel Alto",2026,2026
"59","2008 EZ84","2072-2115",9,0.00019,7.91,26.2,0.02,-4.44,"Muy Largo Plazo",-8.56848648580379,"Nivel Medio","Nivel Alto",2072,2115
"60","2014 MV67","2018-2025",4,1.6e-09,12.76,19,0.537,-4.44,"Medio Plazo",-20.2532622077007,"Nivel Bajo","Nivel Alto",2018,2025
"61","2017 YT5","2021-2021",1,9.7e-10,26.3,18.7,0.61,-4.46,"Medio Plazo",-20.7537250444311,"Nivel Bajo","Nivel Alto",2021,2021
"62","2017 WT28","2083-2117",58,0.0029,4.47,28.1,0.008,-4.47,"Muy Largo Plazo",-5.84304454198971,"Nivel Alto","Nivel Alto",2083,2117
"63","2007 KE4","2026-2115",4,1.4e-05,10.07,25.2,0.031,-4.48,"Largo Plazo",-11.176453228349,"Nivel Bajo","Nivel Alto",2026,2115
"64","2011 EB74","2032-2116",423,0.00033,7.54,26.9,0.014,-4.48,"Largo Plazo",-8.01641790350375,"Nivel Medio","Nivel Alto",2032,2116
"65","2015 HV182","2018-2101",193,2e-07,6.82,21.7,0.157,-4.5,"Medio Plazo",-15.4249484703984,"Nivel Bajo","Nivel Alto",2018,2101
"66","2012 MF7","2046-2096",12,0.00015,8.7,26.8,0.015,-4.58,"Largo Plazo",-8.80487526386802,"Nivel Medio","Nivel Alto",2046,2096
"67","2010 QG2","2051-2070",7,7.1e-06,12.89,24.2,0.048,-4.59,"Muy Largo Plazo",-11.855415773917,"Nivel Bajo","Nivel Alto",2051,2070
"68","2012 BA77","2025-2088",29,3.3e-05,12.7,25.9,0.023,-4.59,"Largo Plazo",-10.3190029964978,"Nivel Medio","Nivel Alto",2025,2088
"69","2013 GM3","2028-2116",169,0.00015,7.14,26.2,0.019,-4.59,"Largo Plazo",-8.80487526386802,"Nivel Medio","Nivel Alto",2028,2116
"70","2011 BL45","2050-2116",59,0.00059,1.68,27.2,0.013,-4.61,"Muy Largo Plazo",-7.43538802106451,"Nivel Medio","Nivel Alto",2050,2116
"71","2011 VG9","2086-2112",5,7.7e-07,24.78,22.2,0.124,-4.61,"Muy Largo Plazo",-14.0768753220987,"Nivel Bajo","Nivel Alto",2086,2112
"72","2007 WP3","2098-2114",17,7.7e-06,13.03,23.5,0.067,-4.62,"Muy Largo Plazo",-11.7742902291046,"Nivel Bajo","Nivel Alto",2098,2114
"73","2006 HF6","2053-2110",26,1.1e-05,16.39,24.5,0.043,-4.63,"Muy Largo Plazo",-11.4176152851659,"Nivel Bajo","Nivel Alto",2053,2110
"74","2015 XA378","2092-2116",19,4.9e-05,17.9,25.5,0.027,-4.63,"Muy Largo Plazo",-9.92369025985365,"Nivel Bajo","Nivel Alto",2092,2116
"75","2017 YL6","2034-2117",77,1e-06,18.38,22.8,0.092,-4.63,"Largo Plazo",-13.8155105579643,"Nivel Bajo","Nivel Alto",2034,2117
"76","2014 CR13","2103-2117",20,9.1e-05,12.29,25.7,0.024,-4.64,"Muy Largo Plazo",-9.30465105144742,"Nivel Medio","Nivel Alto",2103,2117
"77","2014 WA201","2075-2082",6,2e-04,11.57,26.8,0.015,-4.65,"Muy Largo Plazo",-8.51719319141624,"Nivel Medio","Nivel Alto",2075,2082
"78","2011 UM169","2099-2107",19,3.3e-05,13.96,25.1,0.033,-4.67,"Muy Largo Plazo",-10.3190029964978,"Nivel Bajo","Nivel Alto",2099,2107
"79","2015 BS516","2022-2111",32,2.4e-08,13.01,19.9,0.35,-4.68,"Medio Plazo",-17.5452120065985,"Nivel Bajo","Nivel Alto",2022,2111
"80","2005 NX55","2018-2107",107,4.6e-08,25.05,21.9,0.141,-4.68,"Medio Plazo",-16.8946244404573,"Nivel Bajo","Nivel Alto",2018,2107
"81","2017 SF20","2034-2034",1,0.00032,10.44,28.4,0.007,-4.68,"Largo Plazo",-8.0471895621705,"Nivel Alto","Nivel Alto",2034,2034
"82","2008 FF5","2060-2060",1,4.8e-07,39.47,23.1,0.081,-4.7,"Muy Largo Plazo",-14.5494797330445,"Nivel Bajo","Nivel Alto",2060,2060
"83","2011 ES4","2031-2112",82,5.4e-05,7.72,25.7,0.025,-4.7,"Largo Plazo",-9.8265265114,"Nivel Medio","Nivel Alto",2031,2112
"84","2011 SO189","2056-2102",13,1e-04,12.99,26.5,0.017,-4.71,"Muy Largo Plazo",-9.21034037197618,"Nivel Medio","Nivel Alto",2056,2102
"85","2017 PY26","2108-2117",6,1.2e-06,19.98,22.4,0.11,-4.71,"Muy Largo Plazo",-13.6331890011703,"Nivel Bajo","Nivel Alto",2108,2117
"86","2017 AE21","2020-2117",97,4.6e-06,5.14,25,0.034,-4.73,"Medio Plazo",-12.2894542544692,"Nivel Bajo","Nivel Alto",2020,2117
"87","2010 JA43","2018-2117",108,9e-08,15.25,21.6,0.161,-4.76,"Medio Plazo",-16.2234561666161,"Nivel Bajo","Nivel Alto",2018,2117
"88","2007 HB15","2047-2115",59,0.00051,6.34,27.8,0.01,-4.76,"Largo Plazo",-7.5810998322459,"Nivel Alto","Nivel Alto",2047,2115
"89","2017 VL2","2087-2115",58,0.00013,8.33,26.1,0.021,-4.76,"Muy Largo Plazo",-8.94797610750869,"Nivel Medio","Nivel Alto",2087,2115
"90","2008 TE","2023-2077",4,4.3e-05,11.84,27.7,0.01,-4.77,"Medio Plazo",-10.0543104422707,"Nivel Alto","Nivel Alto",2023,2077
"91","2010 DG77","2018-2117",575,7.4e-06,2.38,24.5,0.044,-4.78,"Medio Plazo",-11.8140305577541,"Nivel Bajo","Nivel Alto",2018,2117
"92","2001 GP2","2043-2107",23,0.00021,2.58,26.9,0.014,-4.81,"Largo Plazo",-8.46840302724681,"Nivel Medio","Nivel Alto",2043,2107
"93","2005 XA8","2063-2086",21,3.6e-05,12.06,25.6,0.025,-4.81,"Muy Largo Plazo",-10.2319916195082,"Nivel Medio","Nivel Alto",2063,2086
"94","2008 PK9","2045-2065",9,5.2e-07,26.64,23.2,0.078,-4.82,"Largo Plazo",-14.4694370253709,"Nivel Bajo","Nivel Alto",2045,2065
"95","2011 CU46","2028-2117",502,2.3e-05,16,25.4,0.028,-4.82,"Largo Plazo",-10.6800163420351,"Nivel Bajo","Nivel Alto",2028,2117
"96","2011 OB26","2099-2116",22,5.4e-05,11,25.6,0.026,-4.82,"Muy Largo Plazo",-9.8265265114,"Nivel Medio","Nivel Alto",2099,2116
"97","2012 EK5","2070-2111",14,3.3e-05,15.13,25.5,0.026,-4.82,"Muy Largo Plazo",-10.3190029964978,"Nivel Bajo","Nivel Alto",2070,2111
"98","1995 CS","2042-2061",6,5.3e-06,25.44,25.4,0.028,-4.83,"Largo Plazo",-12.1478037374062,"Nivel Bajo","Nivel Alto",2042,2061
"99","2008 DB","2046-2117",42,3.7e-05,6.97,25.7,0.025,-4.84,"Largo Plazo",-10.20459264532,"Nivel Medio","Nivel Alto",2046,2117
"100","2017 YM1","2048-2103",22,3.4e-05,11.07,25.4,0.028,-4.84,"Largo Plazo",-10.2891500333481,"Nivel Bajo","Nivel Alto",2048,2103
"101","2010 MA113","2038-2114",144,9.7e-07,4.97,22.3,0.12,-4.86,"Largo Plazo",-13.845969765449,"Nivel Bajo","Nivel Alto",2038,2114
"102","2011 XC2","2056-2056",1,6.7e-07,20.75,23,0.085,-4.86,"Muy Largo Plazo",-14.2159881245614,"Nivel Bajo","Nivel Alto",2056,2056
"103","2002 VU17","2084-2099",5,1.4e-05,13.69,24.8,0.038,-4.87,"Muy Largo Plazo",-11.176453228349,"Nivel Bajo","Nivel Alto",2084,2099
"104","2010 CA55","2021-2074",4,2.8e-08,24.03,22,0.14,-4.89,"Medio Plazo",-17.3910613267712,"Nivel Bajo","Nivel Alto",2021,2074
"105","2010 XN69","2020-2116",143,6.9e-05,6.45,26.3,0.019,-4.89,"Medio Plazo",-9.58140405336701,"Nivel Medio","Nivel Alto",2020,2116
"106","2000 WJ107","2114-2115",14,2.9e-06,12.78,23.1,0.081,-4.9,"Muy Largo Plazo",-12.7507998209718,"Nivel Bajo","Nivel Alto",2114,2115
"107","2002 MN","2070-2109",8,2.8e-06,10.37,23.3,0.073,-4.91,"Muy Largo Plazo",-12.7858911407831,"Nivel Bajo","Nivel Alto",2070,2109
"108","2016 EO28","2035-2054",17,0.00059,6.98,29.1,0.005,-4.91,"Largo Plazo",-7.43538802106451,"Nivel Alto","Nivel Alto",2035,2054
"109","2010 KV7","2034-2115",48,3.9e-05,5.37,26,0.021,-4.92,"Largo Plazo",-10.1519489118346,"Nivel Medio","Nivel Alto",2034,2115
"110","2015 YV20","2020-2116",175,5.2e-07,5.95,22.4,0.113,-4.92,"Medio Plazo",-14.4694370253709,"Nivel Bajo","Nivel Alto",2020,2116
"111","2016 DK1","2043-2115",40,0.00019,6.87,27.3,0.012,-4.92,"Largo Plazo",-8.56848648580379,"Nivel Medio","Nivel Alto",2043,2115
"112","2010 MY112","2018-2107",26,8.4e-09,21.89,21,0.231,-4.93,"Medio Plazo",-18.5950341310971,"Nivel Bajo","Nivel Alto",2018,2107
"113","2012 ES10","2054-2064",7,1e-06,24.34,23.7,0.061,-4.94,"Muy Largo Plazo",-13.8155105579643,"Nivel Bajo","Nivel Alto",2054,2064
"114","2017 RV2","2082-2117",42,0.00011,6.48,26.2,0.019,-4.94,"Muy Largo Plazo",-9.11503019217186,"Nivel Medio","Nivel Alto",2082,2117
"115","2017 OM1","2084-2113",5,2.1e-06,15.78,23.3,0.073,-4.95,"Muy Largo Plazo",-13.0735732132349,"Nivel Bajo","Nivel Alto",2084,2113
"116","2007 VE8","2062-2062",1,2e-05,9.05,25.4,0.028,-4.96,"Muy Largo Plazo",-10.8197782844103,"Nivel Bajo","Nivel Alto",2062,2062
"117","2017 SA20","2027-2117",421,0.00076,5.87,28.3,0.008,-4.97,"Largo Plazo",-7.1821921246839,"Nivel Alto","Nivel Alto",2027,2117
"118","2009 WP6","2067-2114",53,4e-05,25.34,26.8,0.015,-4.98,"Muy Largo Plazo",-10.1266311038503,"Nivel Medio","Nivel Alto",2067,2114
"119","2014 LY21","2018-2116",979,9.1e-05,7.09,29.2,0.005,-5,"Medio Plazo",-9.30465105144742,"Nivel Alto","Nivel Alto",2018,2116
"120","2010 JH110","2071-2102",5,7.5e-05,8.07,26.3,0.019,-5.02,"Muy Largo Plazo",-9.49802244442796,"Nivel Medio","Nivel Alto",2071,2102
"121","2016 VB1","2065-2116",63,0.0011,5.45,28.6,0.006,-5.02,"Muy Largo Plazo",-6.81244509917781,"Nivel Alto","Nivel Alto",2065,2116
"122","1996 TC1","2064-2072",3,1.3e-06,24.01,23.9,0.055,-5.03,"Muy Largo Plazo",-13.5531462934968,"Nivel Bajo","Nivel Alto",2064,2072
"123","2012 DW60","2083-2115",16,1e-04,5.4,26.5,0.017,-5.03,"Muy Largo Plazo",-9.21034037197618,"Nivel Medio","Nivel Alto",2083,2115
"124","2011 MX","2070-2086",21,9.3e-05,12.15,26.9,0.014,-5.04,"Muy Largo Plazo",-9.28291106481102,"Nivel Medio","Nivel Alto",2070,2086
"125","2013 HT150","2040-2113",94,1.7e-05,14.22,25.4,0.027,-5.04,"Largo Plazo",-10.9822972139081,"Nivel Bajo","Nivel Alto",2040,2113
"126","2016 NL39","2055-2115",83,0.00033,3.93,27.6,0.01,-5.04,"Muy Largo Plazo",-8.01641790350375,"Nivel Alto","Nivel Alto",2055,2115
"127","2006 CM10","2092-2092",1,1.8e-07,22.34,21.7,0.15,-5.05,"Muy Largo Plazo",-15.5303089860562,"Nivel Bajo","Nivel Alto",2092,2092
"128","2006 JE","2094-2112",5,1.8e-06,26.35,23.8,0.058,-5.05,"Muy Largo Plazo",-13.2277238930622,"Nivel Bajo","Nivel Alto",2094,2112
"129","2015 WN1","2053-2116",69,7.8e-05,8.87,26.5,0.017,-5.06,"Muy Largo Plazo",-9.45880173127468,"Nivel Medio","Nivel Alto",2053,2116
"130","2004 VM24","2049-2114",28,2.3e-05,12.86,25.7,0.025,-5.07,"Largo Plazo",-10.6800163420351,"Nivel Medio","Nivel Alto",2049,2114
"131","2000 LG6","2075-2115",38,0.0019,2.11,29,0.005,-5.08,"Muy Largo Plazo",-6.26590139280974,"Nivel Alto","Nivel Alto",2075,2115
"132","2010 VW194","2042-2116",35,7.1e-05,7.31,26.5,0.017,-5.1,"Largo Plazo",-9.55283068092296,"Nivel Medio","Nivel Alto",2042,2116
"133","2012 SY49","2031-2114",23,1.2e-05,15.65,25.8,0.023,-5.1,"Largo Plazo",-11.3306039081763,"Nivel Medio","Nivel Alto",2031,2114
"134","2013 EV27","2038-2075",5,2.8e-05,12.37,27,0.014,-5.1,"Largo Plazo",-10.4833060477891,"Nivel Medio","Nivel Alto",2038,2075
"135","2017 TA6","2049-2116",43,0.00015,3.9,26.7,0.016,-5.1,"Largo Plazo",-8.80487526386802,"Nivel Medio","Nivel Alto",2049,2116
"136","2010 VQ","2034-2114",50,0.00014,4.57,27.7,0.01,-5.11,"Largo Plazo",-8.87386813535497,"Nivel Alto","Nivel Alto",2034,2114
"137","2014 YN","2095-2115",20,5.3e-05,3.27,25.7,0.024,-5.11,"Muy Largo Plazo",-9.84521864441215,"Nivel Medio","Nivel Alto",2095,2115
"138","2008 EM68","2018-2116",1110,1.4e-05,14.59,27.7,0.01,-5.13,"Medio Plazo",-11.176453228349,"Nivel Alto","Nivel Alto",2018,2116
"139","2014 ML67","2023-2109",24,4.3e-07,21.17,24.2,0.05,-5.13,"Medio Plazo",-14.6594806282588,"Nivel Bajo","Nivel Alto",2023,2109
"140","2006 SC","2053-2109",5,6.4e-06,12.23,25.2,0.031,-5.15,"Muy Largo Plazo",-11.9592125675986,"Nivel Bajo","Nivel Alto",2053,2109
"141","2013 WM","2047-2105",2,6.2e-07,35.38,23.9,0.055,-5.15,"Largo Plazo",-14.2935463589073,"Nivel Bajo","Nivel Alto",2047,2105
"142","2017 GG8","2066-2078",4,2.4e-05,11.46,26.1,0.021,-5.15,"Muy Largo Plazo",-10.6374567276163,"Nivel Medio","Nivel Alto",2066,2078
"143","2007 CC27","2067-2105",34,7.7e-05,10.88,26.9,0.014,-5.16,"Muy Largo Plazo",-9.47170513611059,"Nivel Medio","Nivel Alto",2067,2105
"144","2009 TH8","2097-2100",3,8.9e-06,13.03,24.9,0.036,-5.16,"Muy Largo Plazo",-11.6294592812262,"Nivel Bajo","Nivel Alto",2097,2100
"145","2010 XB73","2023-2110",50,2.8e-07,5.98,22.5,0.11,-5.16,"Medio Plazo",-15.0884762337772,"Nivel Bajo","Nivel Alto",2023,2110
"146","2016 TY55","2074-2114",17,0.00011,4.61,26.9,0.014,-5.16,"Muy Largo Plazo",-9.11503019217186,"Nivel Medio","Nivel Alto",2074,2114
"147","1994 GV","2036-2116",48,0.00016,8.09,27.5,0.011,-5.17,"Largo Plazo",-8.74033674273045,"Nivel Alto","Nivel Alto",2036,2116
"148","2005 CC37","2095-2117",3,1.3e-06,8.42,22.7,0.098,-5.17,"Muy Largo Plazo",-13.5531462934968,"Nivel Bajo","Nivel Alto",2095,2117
"149","2004 PU42","2071-2115",26,7.6e-05,10.12,26.8,0.015,-5.18,"Muy Largo Plazo",-9.48477721767794,"Nivel Medio","Nivel Alto",2071,2115
"150","2007 DS7","2048-2114",23,2.1e-05,12.38,25.9,0.023,-5.19,"Largo Plazo",-10.7709881202409,"Nivel Medio","Nivel Alto",2048,2114
"151","2010 JL88","2049-2116",82,5.7e-05,14.87,26.8,0.015,-5.19,"Largo Plazo",-9.77245929012972,"Nivel Medio","Nivel Alto",2049,2116
"152","2009 FZ4","2018-2116",400,2.5e-06,10.11,25.2,0.031,-5.2,"Medio Plazo",-12.8992198260901,"Nivel Bajo","Nivel Alto",2018,2116
"153","2013 BL18","2070-2092",5,2.1e-05,14.19,26,0.022,-5.21,"Muy Largo Plazo",-10.7709881202409,"Nivel Medio","Nivel Alto",2070,2092
"154","2014 MA68","2019-2116",390,1.7e-05,4.96,25.9,0.022,-5.21,"Medio Plazo",-10.9822972139081,"Nivel Medio","Nivel Alto",2019,2116
"155","2014 UD57","2076-2115",6,2.9e-05,8.72,25.8,0.023,-5.21,"Muy Largo Plazo",-10.4482147279778,"Nivel Medio","Nivel Alto",2076,2115
"156","2008 YO2","2052-2109",29,7.6e-06,16.49,25.2,0.031,-5.22,"Muy Largo Plazo",-11.787362310672,"Nivel Bajo","Nivel Alto",2052,2109
"157","1999 RZ31","2056-2056",2,1.6e-06,8.2,23.8,0.059,-5.23,"Muy Largo Plazo",-13.3455069287185,"Nivel Bajo","Nivel Alto",2056,2056
"158","2010 JH80","2074-2095",3,1.7e-06,26.9,24.5,0.042,-5.23,"Muy Largo Plazo",-13.2848823069021,"Nivel Bajo","Nivel Alto",2074,2095
"159","2017 NT5","2050-2115",6,5.8e-07,20.15,22.9,0.09,-5.23,"Muy Largo Plazo",-14.3602377334059,"Nivel Bajo","Nivel Alto",2050,2115
"160","2014 JR24","2069-2115",34,0.0012,3.72,29.3,0.005,-5.24,"Muy Largo Plazo",-6.72543372218818,"Nivel Alto","Nivel Alto",2069,2115
"161","2006 BC8","2050-2112",20,9.5e-06,13.16,25.1,0.032,-5.25,"Muy Largo Plazo",-11.5642187593578,"Nivel Bajo","Nivel Alto",2050,2112
"162","2008 EL68","2018-2113",614,3.3e-05,3.71,27.9,0.009,-5.25,"Medio Plazo",-10.3190029964978,"Nivel Alto","Nivel Alto",2018,2113
"163","2008 ST","2047-2116",23,0.00016,3.24,27.1,0.013,-5.25,"Largo Plazo",-8.74033674273045,"Nivel Medio","Nivel Alto",2047,2116
"164","2006 QN111","2079-2079",1,1.9e-06,10.55,23.8,0.06,-5.27,"Muy Largo Plazo",-13.1736566717919,"Nivel Bajo","Nivel Alto",2079,2079
