"","Object.Designation..","Year.Range..","Potential.Impacts..","Impact.Probability..cumulative.","Vinfinity..km.s.","H..mag.","Estimated.Diameter..km.","Palermo.Scale..cum..","FechaProx.Clase","Probabilidad.Log","BrilloH.Clase","Palermo.Clase","Fecha.Min","Fecha.Max"
"499","2010 RM80","2085-2116",21,1.1e-05,5.36,27.9,0.009,-6.83,"Muy Largo Plazo",-11.4176152851659,"Nivel Alto","Nivel Medio",2085,2116
"500","2014 HY198","2041-2116",240,4.4e-05,6.53,29.6,0.004,-6.83,"Largo Plazo",-10.031320924046,"Nivel Alto","Nivel Medio",2041,2116
"501","2017 DB120","2053-2103",8,1.3e-08,14.35,23,0.085,-6.84,"Muy Largo Plazo",-18.1583164794849,"Nivel Bajo","Nivel Medio",2053,2103
"502","2007 EZ25","2087-2087",2,2.1e-07,20.74,25.6,0.026,-6.84,"Muy Largo Plazo",-15.3761583062289,"Nivel Medio","Nivel Medio",2087,2087
"503","2006 QK33","2116-2116",1,5.7e-08,12.46,23.6,0.065,-6.85,"Muy Largo Plazo",-16.6802145691119,"Nivel Bajo","Nivel Medio",2116,2116
"504","2009 ST171","2066-2066",1,1.2e-06,9.83,26.8,0.015,-6.86,"Muy Largo Plazo",-13.6331890011703,"Nivel Medio","Nivel Medio",2066,2066
"505","2012 BP123","2021-2117",306,1.3e-06,4.85,27.1,0.013,-6.87,"Medio Plazo",-13.5531462934968,"Nivel Medio","Nivel Medio",2021,2117
"506","2017 UM52","2020-2117",147,2.7e-05,2.45,29.5,0.004,-6.88,"Medio Plazo",-10.5196736919599,"Nivel Alto","Nivel Medio",2020,2117
"507","2014 LJ","2055-2116",40,1.5e-05,3.61,28.5,0.007,-6.89,"Muy Largo Plazo",-11.1074603568621,"Nivel Alto","Nivel Medio",2055,2116
"508","2015 FF36","2059-2077",7,9.5e-07,8.85,26.5,0.017,-6.89,"Muy Largo Plazo",-13.8668038523518,"Nivel Medio","Nivel Medio",2059,2077
"509","2016 SU2","2102-2115",12,4.4e-06,12.73,27.7,0.01,-6.89,"Muy Largo Plazo",-12.3339060170401,"Nivel Alto","Nivel Medio",2102,2115
"510","2006 UC64","2069-2085",4,8.7e-08,20.09,25,0.034,-6.89,"Muy Largo Plazo",-16.2573577182918,"Nivel Bajo","Nivel Medio",2069,2085
"511","2017 HZ4","2091-2106",2,8.2e-07,5.91,25.9,0.023,-6.89,"Muy Largo Plazo",-14.0139614966881,"Nivel Medio","Nivel Medio",2091,2106
"512","2006 UQ216","2061-2116",7,4.3e-06,3.73,27.3,0.012,-6.9,"Muy Largo Plazo",-12.3568955352648,"Nivel Medio","Nivel Medio",2061,2116
"513","2016 JB29","2090-2090",1,1.7e-07,8.56,24.7,0.039,-6.9,"Muy Largo Plazo",-15.5874673998962,"Nivel Bajo","Nivel Medio",2090,2090
"514","2016 PR66","2026-2113",23,1.2e-08,10.32,23.3,0.075,-6.9,"Largo Plazo",-18.2383591871584,"Nivel Bajo","Nivel Medio",2026,2113
"515","2011 CF22","2030-2117",168,5.1e-05,18.8,30.9,0.002,-6.91,"Largo Plazo",-9.88368492523995,"Nivel Alto","Nivel Medio",2030,2117
"516","2016 DK2","2069-2110",2,7.7e-06,17.58,29.1,0.005,-6.91,"Muy Largo Plazo",-11.7742902291046,"Nivel Alto","Nivel Medio",2069,2110
"517","2007 EN88","2094-2104",3,1e-06,12.16,26.4,0.017,-6.92,"Muy Largo Plazo",-13.8155105579643,"Nivel Medio","Nivel Medio",2094,2104
"518","2016 JN38","2039-2116",101,6.5e-06,19.52,29.1,0.005,-6.92,"Largo Plazo",-11.9437083810627,"Nivel Alto","Nivel Medio",2039,2116
"519","2014 CE","2111-2117",4,2e-06,13.02,27,0.013,-6.93,"Muy Largo Plazo",-13.1223633774043,"Nivel Medio","Nivel Medio",2111,2117
"520","2015 VP64","2087-2087",2,3.5e-06,20.96,28.3,0.007,-6.93,"Muy Largo Plazo",-12.5627475894689,"Nivel Alto","Nivel Medio",2087,2087
"521","2009 WZ53","2020-2104",8,1.2e-08,18.98,24.1,0.052,-6.94,"Medio Plazo",-18.2383591871584,"Nivel Bajo","Nivel Medio",2020,2104
"522","2011 YC40","2028-2050",7,5.7e-06,10.92,29.7,0.004,-6.94,"Largo Plazo",-12.0750443831238,"Nivel Alto","Nivel Medio",2028,2050
"523","2013 QM48","2071-2116",19,3.8e-06,7.47,27.4,0.011,-6.94,"Muy Largo Plazo",-12.4805094912319,"Nivel Alto","Nivel Medio",2071,2116
"524","2013 UR1","2050-2060",4,8.5e-07,21.69,27.8,0.009,-6.95,"Muy Largo Plazo",-13.978029487462,"Nivel Alto","Nivel Medio",2050,2060
"525","2017 UE43","2045-2117",3,7.9e-08,7.95,23.9,0.056,-6.95,"Largo Plazo",-16.3538179844794,"Nivel Bajo","Nivel Medio",2045,2117
"526","2008 WO2","2065-2111",9,4.9e-05,6.11,29.8,0.004,-6.96,"Muy Largo Plazo",-9.92369025985365,"Nivel Alto","Nivel Medio",2065,2111
"527","2010 WW8","2018-2112",84,1.4e-07,5.28,26.4,0.018,-6.98,"Medio Plazo",-15.7816234143371,"Nivel Medio","Nivel Medio",2018,2112
"528","2017 QT1","2050-2069",3,3.1e-07,20.02,26.8,0.015,-6.98,"Muy Largo Plazo",-14.9866935394672,"Nivel Medio","Nivel Medio",2050,2069
"529","2015 VK1","2103-2109",2,7.7e-07,14.73,26.5,0.017,-6.98,"Muy Largo Plazo",-14.0768753220987,"Nivel Medio","Nivel Medio",2103,2109
"530","2016 VA18","2020-2116",501,2.6e-06,8.75,28.5,0.007,-6.98,"Medio Plazo",-12.8599991129368,"Nivel Alto","Nivel Medio",2020,2116
"531","2017 FC1","2064-2064",1,4.5e-07,8.28,26.1,0.02,-6.98,"Muy Largo Plazo",-14.614018254182,"Nivel Medio","Nivel Medio",2064,2064
"532","2012 BW13","2086-2111",8,2e-06,11.68,27.2,0.012,-6.99,"Muy Largo Plazo",-13.1223633774043,"Nivel Medio","Nivel Medio",2086,2111
"533","2013 BR15","2100-2110",3,1.6e-07,14.08,25.1,0.032,-6.99,"Muy Largo Plazo",-15.6480920217126,"Nivel Bajo","Nivel Medio",2100,2110
"534","2015 BY3","2033-2080",7,8e-07,16.56,27.5,0.011,-6.99,"Largo Plazo",-14.0386541092785,"Nivel Alto","Nivel Medio",2033,2080
"535","2008 XK","2019-2109",101,4e-07,11.44,27.2,0.012,-7,"Medio Plazo",-14.7318012898384,"Nivel Medio","Nivel Medio",2019,2109
"536","2016 CH30","2100-2112",3,7.1e-06,5.46,28,0.009,-7,"Muy Largo Plazo",-11.855415773917,"Nivel Alto","Nivel Medio",2100,2112
"537","2017 AR20","2023-2023",1,1.3e-10,18.52,21.3,0.19,-7.02,"Medio Plazo",-22.763486665473,"Nivel Bajo","Nivel Medio",2023,2023
"538","2013 GW38","2061-2113",14,6.5e-06,10.27,28.5,0.007,-7.03,"Muy Largo Plazo",-11.9437083810627,"Nivel Alto","Nivel Medio",2061,2113
"539","2000 SZ162","2070-2109",6,1.9e-06,4.16,27.1,0.013,-7.04,"Muy Largo Plazo",-13.1736566717919,"Nivel Medio","Nivel Medio",2070,2109
"540","2017 KQ27","2117-2117",1,4.7e-07,10.96,25.8,0.023,-7.04,"Muy Largo Plazo",-14.5705331422423,"Nivel Medio","Nivel Medio",2117,2117
"541","2013 RR43","2050-2057",2,6e-08,18.99,25.4,0.028,-7.05,"Muy Largo Plazo",-16.6289212747243,"Nivel Bajo","Nivel Medio",2050,2057
"542","2006 HE2","2081-2103",3,1.1e-06,5.03,26.5,0.017,-7.06,"Muy Largo Plazo",-13.7202003781599,"Nivel Medio","Nivel Medio",2081,2103
"543","2006 YE","2082-2095",4,2.4e-06,6.01,27.3,0.012,-7.06,"Muy Largo Plazo",-12.9400418206104,"Nivel Medio","Nivel Medio",2082,2095
"544","2016 TT","2084-2095",4,4e-07,11.56,26,0.021,-7.06,"Muy Largo Plazo",-14.7318012898384,"Nivel Medio","Nivel Medio",2084,2095
"545","2017 RJ2","2108-2111",7,1.9e-06,15.86,27.5,0.011,-7.07,"Muy Largo Plazo",-13.1736566717919,"Nivel Alto","Nivel Medio",2108,2111
"546","2017 VV12","2062-2116",10,4.4e-06,6.29,28,0.009,-7.07,"Muy Largo Plazo",-12.3339060170401,"Nivel Alto","Nivel Medio",2062,2116
"547","2017 SS12","2074-2089",5,1.4e-06,10.09,27.1,0.013,-7.08,"Muy Largo Plazo",-13.4790383213431,"Nivel Medio","Nivel Medio",2074,2089
"548","2005 VP","2053-2103",20,1e-07,12.83,25.5,0.027,-7.09,"Muy Largo Plazo",-16.1180956509583,"Nivel Bajo","Nivel Medio",2053,2103
"549","2017 FW90","2101-2103",3,7.4e-06,4.16,28.1,0.008,-7.09,"Muy Largo Plazo",-11.8140305577541,"Nivel Alto","Nivel Medio",2101,2103
"550","2003 YS70","2107-2116",2,1.7e-05,3.16,28.8,0.006,-7.1,"Muy Largo Plazo",-10.9822972139081,"Nivel Alto","Nivel Medio",2107,2116
"551","2016 GU2","2113-2113",1,1.2e-08,39.17,24.1,0.052,-7.1,"Muy Largo Plazo",-18.2383591871584,"Nivel Bajo","Nivel Medio",2113,2113
"552","2016 WU","2089-2109",3,2.6e-06,7.05,27.3,0.012,-7.11,"Muy Largo Plazo",-12.8599991129368,"Nivel Medio","Nivel Medio",2089,2109
"553","2013 XU21","2055-2055",1,2.3e-07,11.04,26.2,0.02,-7.12,"Muy Largo Plazo",-15.2851865280232,"Nivel Medio","Nivel Medio",2055,2055
"554","2014 HR197","2018-2112",197,8e-08,17.06,26.9,0.014,-7.13,"Medio Plazo",-16.3412392022725,"Nivel Medio","Nivel Medio",2018,2112
